product_name,review,rating,sentiment
Router,Perfect! Exactly what I was looking for,4,positive
Stand,It's fine for basic usage,3,neutral
Laptop,Great quality and very durable product,5,positive
Speaker,This product is absolutely amazing! Love it so much,5,positive
Keyboard,Poor product quality very disappointed,1,negative
Mouse,Okay quality acceptable performance,3,neutral
Power Bank,"Worst product ever bought, complete waste",2,negative
Tablet,Superb quality and excellent value,5,positive
Smartphone,Okay quality nothing extraordinary,3,neutral
Smartphone,Decent quality reasonable price,3,neutral
Speaker,Not satisfied with product quality at all,2,negative
Webcam,Poor value for money disappointed,1,negative
Microphone,Poor product quality not satisfied,2,negative
Monitor,Perfect quality and fast delivery,5,positive
Webcam,Excellent product with fast shipping,4,positive
Microphone,Perfect product highly recommended,5,positive
Charger,Fantastic quality and great customer service,4,positive
Adapter,Bad quality and slow delivery service,2,negative
Adapter,"Average quality product, acceptable performance",3,neutral
Speaker,Okay build quality standard features,3,neutral
Camera,Disappointing product many manufacturing defects,2,negative
Tablet,Terrible customer service and poor quality,2,negative
Case,Amazing quality exceeded expectations,4,positive
Case,Bad build quality many issues,2,negative
Monitor,Poor product not worth money,2,negative
Mouse,"Terrible experience, product not as described",2,negative
Camera,Highly recommend this product to everyone,5,positive
Earbuds,"It's okay, not great but not terrible",3,neutral
Battery,Bad product poor customer service,1,negative
Scanner,Poor build quality and overpriced product,2,negative
Battery,Average product with decent build quality,3,neutral
Power Bank,"Average product, nothing special about it",3,neutral
Battery,Excellent value for money highly satisfied,4,positive
Adapter,Average product meets expectations,3,neutral
Speaker,"Terrible product, waste of money completely disappointed",1,negative
Router,Average product reasonable price,3,neutral
Scanner,Perfect product with amazing features,4,positive
Stand,"Okay purchase, nothing extraordinary",3,neutral
Scanner,Outstanding product! Exceeded my expectations completely,4,positive
Memory Card,Great product with fantastic features,4,positive
USB Drive,Poor quality materials used in product,2,negative
Earbuds,Best purchase I've made this year,4,positive
Earbuds,Decent product average quality,3,neutral
Earbuds,Amazing product with excellent build quality,4,positive
Headphones,Terrible build quality waste of money,2,negative
Earbuds,Average product decent value,3,neutral
USB Drive,"It's alright, meets basic requirements",3,neutral
Camera,Disappointing quality terrible experience,2,negative
Charger,Okay purchase standard quality,3,neutral
Webcam,Excellent product highly recommended,4,positive
USB Drive,"Not worth the money, very disappointed with quality",2,negative
Monitor,Bad product quality not recommended,2,negative
Mouse,Poor quality and bad customer service experience,1,negative
Keyboard,Terrible quality waste of money,2,negative
Watch,Excellent product very happy,4,positive
USB Drive,Terrible product quality very bad,2,negative
Mouse,It's alright does the job,3,neutral
Scanner,Decent product for the price range,3,neutral
Case,Love this product! Worth every penny,5,positive
Printer,Disappointing product with many issues,2,negative
Case,Average build quality acceptable,3,neutral
Power Bank,"Average build quality, standard features",3,neutral
Power Bank,Average product acceptable quality,3,neutral
Memory Card,Bad product not worth buying,2,negative
Cable,"Very poor quality, broke after one day",2,negative
Adapter,Excellent quality and fast delivery. Highly recommended,4,positive
Scanner,"It's fine, does what it's supposed to do",3,neutral
Router,Amazing features and excellent build,5,positive
Keyboard,Great value for money. Very satisfied with purchase,4,positive
Power Bank,Outstanding quality great value,4,positive
Adapter,Great product love the quality,5,positive
Stand,Decent product nothing special,3,neutral
Keyboard,It's fine meets requirements,3,neutral
Case,Outstanding quality and great design,5,positive
Keyboard,"Okay quality for the price, could be better",3,neutral
